"activityId","hasActivityType","hasLocation","hasTemporalExtent"
"A_OFOD_BR","A_OFOD","BR",2011
"A_BEVR_BR","A_BEVR","BR",2011
"A_FSHP_BR","A_FSHP","BR",2011
"A_TOBC_BR","A_TOBC","BR",2011
"A_TEXT_BR","A_TEXT","BR",2011
"A_GARM_BR","A_GARM","BR",2011
"A_LETH_BR","A_LETH","BR",2011
"A_WOOD_BR","A_WOOD","BR",2011
"A_WOOW_BR","A_WOOW","BR",2011
"A_PULP_BR","A_PULP","BR",2011
"A_PAPR_BR","A_PAPR","BR",2011
"A_PAPE_BR","A_PAPE","BR",2011
"A_MDIA_BR","A_MDIA","BR",2011
"A_COKE_BR","A_COKE","BR",2011
"A_REFN_BR","A_REFN","BR",2011
"A_NUCF_BR","A_NUCF","BR",2011
"A_PLAS_BR","A_PLAS","BR",2011
"A_PLAW_BR","A_PLAW","BR",2011
"A_NFER_BR","A_NFER","BR",2011
"A_PFER_BR","A_PFER","BR",2011
"A_CHEM_BR","A_CHEM","BR",2011
"A_RUBP_BR","A_RUBP","BR",2011
"A_GLAS_BR","A_GLAS","BR",2011
"A_GLAW_BR","A_GLAW","BR",2011
"A_CRMC_BR","A_CRMC","BR",2011
"A_BRIK_BR","A_BRIK","BR",2011
"A_CMNT_BR","A_CMNT","BR",2011
"A_ONMM_BR","A_ONMM","BR",2011
"A_STEL_BR","A_STEL","BR",2011
"A_STEW_BR","A_STEW","BR",2011
"A_PREM_BR","A_PREM","BR",2011
"A_ALUM_BR","A_ALUM","BR",2011
"A_ALUW_BR","A_ALUW","BR",2011
"A_LZTP_BR","A_LZTP","BR",2011
"A_LZTW_BR","A_LZTW","BR",2011
"A_COPP_BR","A_COPP","BR",2011
"A_COPW_BR","A_COPW","BR",2011
"A_ONFM_BR","A_ONFM","BR",2011
"A_ONFW_BR","A_ONFW","BR",2011
"A_METC_BR","A_METC","BR",2011
"A_FABM_BR","A_FABM","BR",2011
"A_MACH_BR","A_MACH","BR",2011
"A_OFMA_BR","A_OFMA","BR",2011
"A_ELMA_BR","A_ELMA","BR",2011
"A_RATV_BR","A_RATV","BR",2011
"A_MEIN_BR","A_MEIN","BR",2011
"A_MOTO_BR","A_MOTO","BR",2011
"A_OTRE_BR","A_OTRE","BR",2011
"A_FURN_BR","A_FURN","BR",2011
"A_RYMS_BR","A_RYMS","BR",2011
"A_POWC_BR","A_POWC","BR",2011
"A_POWG_BR","A_POWG","BR",2011
"A_POWN_BR","A_POWN","BR",2011
"A_POWH_BR","A_POWH","BR",2011
"A_POWW_BR","A_POWW","BR",2011
"A_POWP_BR","A_POWP","BR",2011
"A_POWB_BR","A_POWB","BR",2011
"A_POWT_BR","A_POWT","BR",2011
"A_POWD_BR","A_POWD","BR",2011
"A_GASD_BR","A_GASD","BR",2011
"A_HWAT_BR","A_HWAT","BR",2011
"A_WATR_BR","A_WATR","BR",2011
